epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.4876,1.36551,3.17194,1.48138,0.00337,0.54491,0.43486,0.34879,0.85277,3.35565,1.10023,0.00026672,0.00026672,0.00026672
2,156.064,1.16261,2.29648,1.31901,0.9077,0.21812,0.3917,0.28418,0.97645,3.12258,1.17804,0.000531956,0.000531956,0.000531956
3,232.298,1.23671,1.98351,1.34236,0.92443,0.24267,0.3922,0.31113,1.04834,2.9449,1.19358,0.000778489,0.000778489,0.000778489
4,312.882,1.18736,1.75544,1.31202,0.88434,0.34362,0.39297,0.27322,1.21409,2.8778,1.39244,0.00100632,0.00100632,0.00100632
5,393.83,1.27705,1.87928,1.3929,0.74745,0.18724,0.24288,0.12555,1.8067,3.22345,1.8832,0.00121544,0.00121544,0.00121544
6,474.91,1.31251,1.72038,1.40574,0.78563,0.31254,0.38284,0.21955,1.45266,2.71161,1.59044,0.00139195,0.00139195,0.00139195
7,554.475,1.32692,1.75953,1.37753,0.38459,0.27536,0.16297,0.05898,2.42142,3.44615,2.31066,0.00133693,0.00133693,0.00133693
8,632.954,1.26771,1.60184,1.35105,0.6811,0.5002,0.54351,0.36358,1.18275,2.05275,1.3601,0.00128192,0.00128192,0.00128192
9,712.621,1.21851,1.45872,1.31104,0.60343,0.66,0.62368,0.41019,1.11266,1.90027,1.29993,0.00122691,0.00122691,0.00122691
10,790.019,1.2062,1.43631,1.30046,0.67214,0.57692,0.62455,0.4019,1.16367,1.65895,1.33013,0.0011719,0.0011719,0.0011719
11,867.338,1.18061,1.46806,1.29492,0.61467,0.57001,0.58532,0.37257,1.19638,1.75972,1.31786,0.00111689,0.00111689,0.00111689
12,945.527,1.14608,1.34725,1.25785,0.59873,0.6412,0.63237,0.44596,0.98754,1.43177,1.17456,0.00106188,0.00106188,0.00106188
13,1023.01,1.09723,1.26206,1.22307,0.66168,0.65756,0.69176,0.4962,0.942,1.25831,1.13437,0.00100687,0.00100687,0.00100687
14,1101.67,1.15588,1.32478,1.27451,0.64955,0.71748,0.69817,0.49493,0.92905,1.13737,1.1313,0.000951857,0.000951857,0.000951857
15,1179.74,1.1199,1.24318,1.26356,0.65356,0.69116,0.70371,0.5075,0.86735,1.10084,1.08664,0.000896846,0.000896846,0.000896846
16,1256.96,1.04109,1.18587,1.20323,0.70025,0.68657,0.71115,0.52674,0.88465,1.07717,1.08284,0.000841835,0.000841835,0.000841835
17,1334.41,1.0415,1.18566,1.18929,0.69382,0.76688,0.76013,0.56672,0.84067,0.9873,1.07074,0.000786824,0.000786824,0.000786824
18,1412.71,1.04314,1.13503,1.17393,0.7871,0.74532,0.78819,0.57794,0.83909,1.01458,1.06727,0.000731813,0.000731813,0.000731813
19,1488.89,1.00125,1.05127,1.16938,0.75066,0.78224,0.79533,0.59372,0.81868,0.92872,1.04723,0.000676802,0.000676802,0.000676802
20,1566.55,0.9981,1.11307,1.17691,0.79894,0.8183,0.81451,0.60922,0.79403,0.90989,1.03926,0.000621791,0.000621791,0.000621791
21,1642.71,0.88878,1.10771,1.15113,0.82605,0.77545,0.81975,0.60946,0.81353,1.04718,1.04099,0.00056678,0.00056678,0.00056678
22,1717.67,0.86023,1.03275,1.09678,0.86517,0.76441,0.83409,0.62518,0.7457,0.86832,1.00043,0.000511769,0.000511769,0.000511769
23,1793.61,0.82488,0.93386,1.10718,0.84911,0.78864,0.84339,0.63858,0.72805,0.79235,0.9929,0.000456758,0.000456758,0.000456758
24,1870.44,0.7995,0.88664,1.08832,0.84349,0.81737,0.85924,0.65392,0.72552,0.77099,0.9827,0.000401747,0.000401747,0.000401747
25,1947.1,0.80043,0.86127,1.07867,0.8467,0.8503,0.88353,0.67201,0.716,0.73735,0.97416,0.000346736,0.000346736,0.000346736
26,2025.94,0.77392,0.85323,1.06049,0.84584,0.84731,0.88463,0.68441,0.69863,0.72423,0.96438,0.000291725,0.000291725,0.000291725
27,2107.13,0.73555,0.79644,1.02862,0.835,0.87085,0.90126,0.69522,0.67567,0.70989,0.95524,0.000236714,0.000236714,0.000236714
28,2182.02,0.70093,0.77464,1.03325,0.85237,0.87349,0.90425,0.70998,0.64765,0.68021,0.94035,0.000181703,0.000181703,0.000181703
29,2256.56,0.72395,0.78059,1.01173,0.86535,0.88623,0.91806,0.71857,0.64759,0.67139,0.93691,0.000126692,0.000126692,0.000126692
30,2330.43,0.71807,0.77399,1.01431,0.85474,0.89344,0.91954,0.72073,0.64267,0.6702,0.93381,7.1681e-05,7.1681e-05,7.1681e-05
